"","LED Intensity","Energy Consumed LED","Curtain Position","Automatic Curtain","Cost","Hour","Day"
"1",0.5,0.3,0.7,1,0.088,7,"Monday"
"2",0,0,0.7,1,0.022,8,"Monday"
"3",0,0,0.7,1,0.022,9,"Monday"
"4",0,0,0.7,1,0.022,10,"Monday"
"5",0,0,0.7,1,0.022,11,"Monday"
"6",0,0,0.7,1,0.022,12,"Monday"
"7",0,0,0.7,1,0.022,13,"Monday"
"8",0,0,0.7,1,0.022,14,"Monday"
"9",0,0,1,1,0.022,15,"Monday"
"10",0,0,1,1,0.022,16,"Monday"
"11",0,0,1,1,0.022,17,"Monday"
"12",1,0.5,1,1,0.132,18,"Monday"
"13",1,0.5,1,1,0.132,19,"Monday"
"14",1,0.5,1,1,0.132,20,"Monday"
"15",0.5,0.3,1,1,0.088,7,"Tuesday"
"16",0,0,1,1,0.022,8,"Tuesday"
"17",0,0,1,1,0.022,9,"Tuesday"
"18",0,0,0.7,1,0.022,10,"Tuesday"
"19",0,0,0.7,1,0.022,11,"Tuesday"
"20",0,0,0.7,1,0.022,12,"Tuesday"
"21",0,0,0.7,1,0.022,13,"Tuesday"
"22",0,0,1,1,0.022,14,"Tuesday"
"23",0,0,1,1,0.022,15,"Tuesday"
"24",0,0,1,1,0.022,16,"Tuesday"
"25",0,0,1,1,0.022,17,"Tuesday"
"26",1,0.5,1,1,0.132,18,"Tuesday"
"27",1,0.5,1,1,0.132,19,"Tuesday"
"28",1,0.5,1,1,0.132,20,"Tuesday"
"29",0.5,0.3,1,1,0.088,7,"Wednesday"
"30",0,0,0.7,1,0.022,8,"Wednesday"
"31",0,0,1,1,0.022,9,"Wednesday"
"32",0,0,0.7,1,0.022,10,"Wednesday"
"33",0,0,0.7,1,0.022,11,"Wednesday"
"34",0,0,0.7,1,0.022,12,"Wednesday"
"35",0,0,0.7,1,0.022,13,"Wednesday"
"36",0,0,1,1,0.022,14,"Wednesday"
"37",0,0,1,1,0.022,15,"Wednesday"
"38",0,0,1,1,0.022,16,"Wednesday"
"39",0.5,0.3,1,1,0.088,17,"Wednesday"
"40",1,0.5,1,1,0.132,18,"Wednesday"
"41",1,0.5,1,1,0.132,19,"Wednesday"
"42",1,0.5,1,1,0.132,20,"Wednesday"
"43",0.5,0.3,1,1,0.088,7,"Thursday"
"44",0,0,1,1,0.022,8,"Thursday"
"45",0,0,1,1,0.022,9,"Thursday"
"46",0,0,1,1,0.022,10,"Thursday"
"47",0,0,1,1,0.022,11,"Thursday"
"48",0,0,1,1,0.022,12,"Thursday"
"49",0,0,1,1,0.022,13,"Thursday"
"50",0,0,1,1,0.022,14,"Thursday"
"51",0,0,1,1,0.022,15,"Thursday"
"52",0,0,1,1,0.022,16,"Thursday"
"53",0.5,0.3,1,1,0.088,17,"Thursday"
"54",1,0.5,1,1,0.132,18,"Thursday"
"55",1,0.5,1,1,0.132,19,"Thursday"
"56",1,0.5,1,1,0.132,20,"Thursday"
"57",0,0,1,1,0.022,7,"Friday"
"58",0,0,0.7,1,0.022,8,"Friday"
"59",0,0,0.7,1,0.022,9,"Friday"
"60",0,0,0.7,1,0.022,10,"Friday"
"61",0,0,0.7,1,0.022,11,"Friday"
"62",0,0,0.7,1,0.022,12,"Friday"
"63",0,0,0.7,1,0.022,13,"Friday"
"64",0,0,1,1,0.022,14,"Friday"
"65",0,0,0.7,1,0.022,15,"Friday"
"66",0,0,1,1,0.022,16,"Friday"
"67",0,0,1,1,0.022,17,"Friday"
"68",1,0.5,1,1,0.132,18,"Friday"
"69",1,0.5,1,1,0.132,19,"Friday"
"70",1,0.5,1,1,0.132,20,"Friday"
